trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
330,False,"{'a': 0.3, 'e': 0.036883167401239994}",30,24,10.303261509161338,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.3, 'e': 0.0365161737537404}",25,8,22.229111186230384,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.3, 'e': 0.03615283175404641}",30,16,24.213266885693034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.3, 'e': 0.0357931050676553}",25,15,17.158747792163325,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.3, 'e': 0.03543695772159864}",20,13,11.949667505225818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.3, 'e': 0.035084354100845025}",30,0,36.10241050883738,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
336,False,"{'a': 0.3, 'e': 0.03473525894473856}",25,5,32.87601377980174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.3, 'e': 0.03438963734347271}",25,0,32.732615493341264,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
338,False,"{'a': 0.3, 'e': 0.034047454734599344}",20,12,15.59539522934586,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.3, 'e': 0.033708676899572396}",20,0,32.391854614381586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.3, 'e': 0.03337326996032608}",20,9,19.54276298891577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.3, 'e': 0.03304120037588693}",25,8,24.64741921928157,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.3, 'e': 0.03271243493901982}",20,16,7.106319316188159,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.3, 'e': 0.03238694077290704}",20,12,13.919137068097989,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.3, 'e': 0.03206468532786077}",25,9,23.739074819220374,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.3, 'e': 0.03174563637806794}",20,0,24.581423174760424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.3, 'e': 0.03142976201836771}",25,14,-36.273964184488705,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
347,False,"{'a': 0.3, 'e': 0.03111703066106086}",25,17,15.997319981898407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.3, 'e': 0.030807411032751076}",25,16,14.287749297996815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.3, 'e': 0.030500872171217483}",25,11,18.89162115058247,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.3, 'e': 0.0301973834223185}",20,10,-36.64823610405879,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
351,False,"{'a': 0.3, 'e': 0.029896914436926308}",30,3,19.697869508025914,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.3, 'e': 0.029599435167892}",25,17,15.318805024861483,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.3, 'e': 0.029304915867040746}",30,8,37.27966039325141,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.3, 'e': 0.029013327082197053}",20,3,29.048497563913763,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.3, 'e': 0.028724639654239423}",25,0,36.3880427763715,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.3, 'e': 0.028438824714184505}",25,11,15.480691534474936,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.3, 'e': 0.028155853680300096}",20,0,-39.65918278843205,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
358,False,"{'a': 0.3, 'e': 0.027875698255247015}",25,13,14.469171970086888,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.3, 'e': 0.027598330423249287}",20,12,13.147680250201397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.3, 'e': 0.02732372244729256}",25,17,13.944928602474448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.3, 'e': 0.027051846866350416}",25,19,10.253349819426708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.3, 'e': 0.026782676492638175}",25,8,23.811399247010048,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.3, 'e': 0.02651618440889418}",25,8,28.22907729089571,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.3, 'e': 0.02625234396568796}",25,0,37.052305113138814,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
365,False,"{'a': 0.3, 'e': 0.025991128778755347}",30,17,23.57679762289738,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.3, 'e': 0.02573251272635994}",20,8,20.087755595509343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.3, 'e': 0.025476469946681016}",20,15,10.287072241537855,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.3, 'e': 0.025222974835227212}",35,22,16.621312167955985,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.3, 'e': 0.024972002042276155}",20,1,30.725171661086993,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.3, 'e': 0.024723526470339388}",25,14,18.107140013720763,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.3, 'e': 0.02447752327165267}",25,5,24.30118138301161,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.3, 'e': 0.024233967845691113}",30,18,19.166594350460464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.3, 'e': 0.023992835836709175}",20,16,3.8968792292173777,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.3, 'e': 0.023754103131304997}",30,16,22.904317764255083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.3, 'e': 0.023517745856009107}",30,9,21.400769903059434,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
376,False,"{'a': 0.3, 'e': 0.023283740374897}",20,12,14.862386799027151,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.3, 'e': 0.02305206328722557}",30,20,11.242217036155218,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
